image,cls,conf,x1,y1,x2,y2
000000000009.jpg,45,1.0,1.0799999999999699,187.69008,612.66976,473.53008
000000000009.jpg,45,1.0,311.73024,4.310160000000001,631.01024,232.99032
000000000009.jpg,50,1.0,249.60032000000007,229.27032,565.84032,474.35016
000000000009.jpg,45,1.0,0.0003200000000092018,13.510080000000002,434.48032,388.63007999999996
000000000009.jpg,49,1.0,376.2,40.35996,451.75007999999997,86.88996
000000000009.jpg,49,1.0,465.7797119999999,38.969952,523.849728,85.63996800000001
000000000009.jpg,49,1.0,385.70016000000004,73.65983999999999,469.72,144.16992
000000000009.jpg,49,1.0,364.04959999999994,2.4900960000000016,458.80992,73.559856
000000000025.jpg,23,1.0,385.52992000000006,60.03000299999999,600.50016,357.190137
000000000025.jpg,23,1.0,53.010239999999996,356.490006,185.04032,411.68001
000000000030.jpg,58,1.0,204.86016,31.019727999999994,459.74016,355.13984800000003
000000000030.jpg,75,1.0,237.56032,155.80997600000003,403.96031999999997,351.060152
000000000034.jpg,22,1.0,0.9600000000000009,20.06000000000001,442.19008,399.21015
000000000036.jpg,25,1.0,0.0,50.119679999999995,457.680158,480.46976
000000000036.jpg,0,1.0,167.58015949999998,162.88991999999996,478.19023849999996,628.07968
000000000042.jpg,16,1.0,214.14976,41.29011799999999,562.4096,285.07011800000004
000000000049.jpg,17,1.0,162.5702235,226.55999999999997,292.98004649999996,410.98999999999995
000000000049.jpg,17,1.0,81.6999255,244.94,165.4098165,403.14
000000000049.jpg,0,1.0,203.3898015,260.43,269.0799165,333.46999999999997
000000000049.jpg,0,1.0,118.43004,261.32,175.34001,324.25000000000006
000000000049.jpg,0,1.0,119.34013470000001,334.21,131.2801413,367.78
000000000049.jpg,58,1.0,201.76998000000003,426.19,272.610072,473.42
000000000049.jpg,0,1.0,284.3398428,333.40000000000003,295.2198312,360.83
000000000049.jpg,0,1.0,191.00011964999996,334.37,198.16013835,357.78000000000003
000000000049.jpg,0,1.0,346.76008244999997,333.4,361.56006555,342.62
000000000061.jpg,0,1.0,261.20032,205.92014,309.28031999999996,263.1601
000000000061.jpg,0,1.0,393.39004800000004,210.3401024,425.920032,250.0800896
000000000061.jpg,20,1.0,370.11008,248.899764,453.2,296.539788
000000000061.jpg,20,1.0,223.24991999999997,250.09999999999997,365.16992000000005,327.81009600000004
000000000061.jpg,0,1.0,261.540128,196.57005999999998,295.750112,250.75026000000003
000000000064.jpg,2,1.0,52.360079999999996,387.76992,228.72024,545.38976
000000000064.jpg,7,1.0,52.64016000000001,353.77987200000007,177.22032000000002,413.249888
000000000064.jpg,11,1.0,115.84007999999999,226.58975999999998,152.86007999999998,301.75968
000000000064.jpg,74,1.0,112.04015999999999,42.190079999999995,266.34000000000003,194.49984
000000000071.jpg,2,1.0,467.819712,216.92985000000002,495.56972799999994,231.07986599999998
000000000071.jpg,2,1.0,522.6902719999999,223.40015100000005,547.040288,235.40014499999998
000000000071.jpg,2,1.0,436.90000000000003,217.8298389,460.21999999999997,226.4498211
000000000071.jpg,2,1.0,586.359712,231.3100125,613.509728,245.6199915
000000000071.jpg,6,1.0,47.87040000000001,185.71981200000002,531.30016,305.379804
000000000071.jpg,2,1.0,497.00976,223.9498614,520.56976,235.08984660000002
000000000071.jpg,2,1.0,601.8601600000001,216.63995699999998,618.58016,222.059955
000000000071.jpg,7,1.0,333.480288,192.5999889,357.370272,202.7799831
000000000071.jpg,7,1.0,362.360192,197.28013140000002,386.670208,204.3501126
000000000071.jpg,2,1.0,617.670208,237.43005629999996,640.000192,250.2300357
000000000071.jpg,2,1.0,479.14988800000003,219.9998616,503.079872,232.64984639999994
000000000071.jpg,2,1.0,387.490048,200.7899028,403.500032,205.07989320000001
000000000071.jpg,2,1.0,366.69017599999995,196.9501731,386.390144,204.7601589
000000000071.jpg,2,1.0,348.79027199999996,198.2200791,368.14028800000006,203.33007690000002
000000000071.jpg,2,1.0,499.880096,219.18008850000004,519.060064,225.3901035
000000000071.jpg,2,1.0,460.42016,217.17991199999997,479.22015999999996,228.77989200000002
000000000072.jpg,23,1.0,136.630179,129.44000000000003,425.710033,628.49024
000000000072.jpg,23,1.0,50.45005000000001,72.07008000000002,283.96012399999995,640.0003200000001
000000000073.jpg,3,1.0,12.999802500000024,22.75039999999997,548.9797075,632.42016
000000000073.jpg,3,1.0,1.6599699999999977,3.3200000000000074,270.25984,275.22976
000000000074.jpg,16,1.0,61.87007999999999,276.249711,358.28992,379.429893
000000000074.jpg,1,1.0,2.7497599999999967,3.659978999999989,162.15008,316.059837
000000000074.jpg,0,1.0,295.549664,93.960051,313.969696,152.790225
000000000074.jpg,0,1.0,326.940192,97.0499355,340.49020799999994,122.9799165
000000000074.jpg,0,1.0,356.619872,95.470008,372.329888,147.550212
000000000074.jpg,0,1.0,462.079776,105.09019559999999,493.73974400000003,146.9901924
000000000074.jpg,0,1.0,277.110048,103.839843,292.440032,150.719865
000000000074.jpg,0,1.0,282.649728,103.41003029999999,294.33971199999996,127.66003769999998
000000000077.jpg,0,1.0,216.04,56.30981249999999,319.49,175.2399375
000000000077.jpg,0,1.0,320.73,53.73018749999999,415.36,151.0100625
000000000077.jpg,36,1.0,41.550000000000004,320.34,92.09,344.58
000000000077.jpg,36,1.0,236.62999999999997,140.689875,263.96,169.219875
000000000077.jpg,0,1.0,24.830000000000005,167.52993750000002,121.83000000000001,332.9398125
000000000077.jpg,0,1.0,286.32,101.2899375,311.02,143.0098125
000000000077.jpg,36,1.0,355.43,141.18999375,379.49,156.23000625000003
000000000077.jpg,0,1.0,266.34999999999997,58.179937499999994,289.28,140.6998125
000000000078.jpg,74,1.0,359.799696,2.0697839999999976,573.9299279999999,237.979872
000000000081.jpg,4,1.0,38.54975999999997,40.47997500000001,622.56,358.499825
000000000086.jpg,0,1.0,152.11007999999998,183.09984,281.260032,559.06976
000000000086.jpg,3,1.0,130.139904,346.51968,424.400128,635.15968
000000000086.jpg,26,1.0,265.100032,294.59008000000006,399.700224,404.76992
000000000089.jpg,43,1.0,502.599872,105.46992000000002,528.429888,237.85008
000000000089.jpg,43,1.0,476.62000000000006,127.48992,496.34000000000003,233.59968
000000000089.jpg,43,1.0,528.800192,99.29975999999999,555.2702079999999,237.18984
000000000089.jpg,43,1.0,555.669952,100.89983999999998,576.5399679999999,239.88000000000002
000000000089.jpg,43,1.0,573.729728,96.60024000000001,600.699712,239.39016000000004
000000000089.jpg,69,1.0,138.38016,202.70016,474.59007999999994,472.96992
000000000089.jpg,68,1.0,-0.00012799999999479894,43.669920000000005,118.20019200000002,188.57999999999998
000000000089.jpg,73,1.0,476.68031999999994,333.94991999999996,567.1302400000001,364.30992
000000000089.jpg,73,1.0,497.15999999999997,365.19016799999997,611.20992,398.890152
000000000089.jpg,73,1.0,513.13024,402.70968,640.0,452.82984
000000000092.jpg,42,1.0,418.65024,118.600104,583.32992,427.0
000000000092.jpg,55,1.0,125.70015999999998,0.9598959999999881,501.84032,293.61971800000003
000000000094.jpg,2,1.0,356.230272,275.21979695,399.100288,313.67981505
000000000094.jpg,7,1.0,542.0,263.0001885,624.59968,356.5101995
000000000109.jpg,16,1.0,539.720032,295.4501264,562.630048,313.8401136
000000000109.jpg,0,1.0,512.88976,271.4200528,534.12976,304.1500592
000000000109.jpg,0,1.0,585.8797119999999,268.3499936,604.069728,291.1700064
000000000109.jpg,0,1.0,548.0200416,249.59018240000003,552.5700384,257.7001856
000000000109.jpg,13,1.0,376.599744,261.48984160000003,411.05977600000006,285.2398224
000000000109.jpg,13,1.0,448.370208,281.7698624,488.66019200000005,304.95986560000006
000000000109.jpg,0,1.0,74.5599584,197.84984960000003,80.8499616,213.1298624
000000000109.jpg,0,1.0,604.2600319999999,271.450088,613.4500479999999,282.75010399999996
000000000110.jpg,56,1.0,138.38016000000002,133.50984,237.83999999999997,213.51
000000000110.jpg,56,1.0,243.96032000000002,137.60976000000002,327.79008000000005,256.30992
000000000110.jpg,42,1.0,294.93984,367.89,484.63008,480.00024
000000000110.jpg,43,1.0,274.17980800000004,360.36,291.029792,480.0
000000000110.jpg,53,1.0,136.66016,391.90992,474.35040000000004,474.34992
000000000110.jpg,60,1.0,119.18975999999998,75.29976000000002,263.29984,151.14983999999998
000000000110.jpg,0,1.0,208.18016000000003,-0.000239999999980256,640.0003200000001,474.60984
000000000110.jpg,0,1.0,1.0800000000000054,128.35992,252.39968000000002,409.89
000000000110.jpg,0,1.0,248.08992000000003,1.080000000000001,376.45024,138.07008
000000000110.jpg,0,1.0,196.94976,0.0,264.99968,94.32000000000001
000000000110.jpg,0,1.0,141.19968,2.179919999999995,222.08992,88.00008
000000000110.jpg,0,1.0,-0.00032000000000032003,0.0,130.27999999999997,174.43008
000000000110.jpg,0,1.0,131.149792,0.0,162.219808,55.5
000000000110.jpg,0,1.0,406.76992000000007,1.2200160000000038,441.48992,85.329936
000000000110.jpg,41,1.0,184.03020800000002,79.349952,203.24019200000004,97.579968
000000000110.jpg,56,1.0,0.28003200000000117,134.13984,45.13999999999999,303.50975999999997
000000000110.jpg,56,1.0,413.53996800000004,78.740208,436.429952,91.530192
000000000110.jpg,60,1.0,584.660224,100.540128,640.000256,136.190112
000000000110.jpg,0,1.0,263.059872,0.739992000000001,277.249888,29.399976
000000000110.jpg,0,1.0,335.71999999999997,-4.800000000138027e-05,415.22016,93.43003200000001
000000000110.jpg,60,1.0,3.1497599999999792,377.35992,639.7199999999999,479.99976
000000000110.jpg,41,1.0,163.16009599999998,77.920248,181.860064,101.300232
000000000110.jpg,41,1.0,209.78025599999998,80.59015200000002,229.76022400000002,96.330168
000000000110.jpg,41,1.0,228.12028800000002,75.910008,244.65027200000003,99.289992
000000000113.jpg,56,1.0,92.039792,381.22015999999996,248.809808,444.50016
000000000113.jpg,56,1.0,11.03024,577.5400960000001,82.84016,639.480064
000000000113.jpg,0,1.0,4.329935999999995,31.420160000000017,156.029744,486.49984000000006
000000000113.jpg,41,1.0,70.26988800000001,458.24972800000006,121.869696,519.379712
000000000113.jpg,41,1.0,347.2199328,159.85967999999997,368.89993919999995,178.61967999999996
000000000113.jpg,43,1.0,253.78995200000003,363.24032,301.000128,450.28031999999996
000000000113.jpg,55,1.0,142.37995199999997,424.26976,402.69985599999995,573.83968
000000000113.jpg,0,1.0,341.390192,100.48992000000001,416.00020800000004,428.74015999999995
000000000113.jpg,60,1.0,19.379984000000015,392.93984,415.99979199999996,639.99968
000000000113.jpg,0,1.0,148.130112,44.57984,343.729984,431.45984
000000000113.jpg,41,1.0,282.5600752,95.349728,308.07006879999994,122.11971199999999
000000000113.jpg,41,1.0,346.50008640000004,67.929888,369.9401056,89.979872
000000000113.jpg,41,1.0,343.4299024,98.09008,367.5299056,123.09008
000000000113.jpg,41,1.0,379.90996160000003,96.719904,397.5499424,120.019936
000000000113.jpg,41,1.0,195.72983040000003,140.39983999999998,215.7898496,162.03983999999997
000000000113.jpg,41,1.0,176.1600464,137.139968,199.7300656,161.949952
000000000113.jpg,41,1.0,174.8499168,106.920032,194.4599072,132.550048
000000000113.jpg,41,1.0,140.5701024,138.280032,159.3301216,160.550048
000000000127.jpg,58,1.0,213.55008,49.559835,278.24,120.160053
000000000127.jpg,60,1.0,107.51968000000002,147.13020400000002,639.44992,481.0
000000000127.jpg,41,1.0,381.97024,221.20997600000004,567.1702399999999,345.960212
000000000127.jpg,43,1.0,300.91968,286.33016100000003,405.13984,445.240055
000000000127.jpg,44,1.0,346.67008,276.27990650000004,431.58016000000003,358.5996895
000000000127.jpg,55,1.0,179.14976,263.5699625,305.09984,404.7198935
000000000127.jpg,73,1.0,257.21984000000003,194.1101955,386.28992000000005,286.6300645
000000000127.jpg,13,1.0,-6.399999999739947e-05,148.959928,64.350016,230.909822
000000000127.jpg,13,1.0,157.910176,86.3301686,201.89014400000002,102.7701714
000000000127.jpg,25,1.0,294.0,0.00024050000000024052,398.84992000000005,104.6701695
000000000127.jpg,25,1.0,131.36032,3.1899439000000047,164.08031999999997,58.9200469
000000000127.jpg,26,1.0,111.93984000000003,123.63984749999999,581.89952,286.93982850000003
000000000127.jpg,0,1.0,444.169952,8.670000950000002,466.919968,44.41998925
000000000127.jpg,13,1.0,106.04032000000001,99.0400645,171.04,148.4902315
000000000127.jpg,13,1.0,196.88003199999997,147.35016530000001,249.630048,183.6201627
000000000127.jpg,60,1.0,265.55039999999997,95.15012129999998,479.81023999999996,118.5601027
000000000127.jpg,25,1.0,104.35020800000001,1.489993700000001,132.840192,46.030016499999995
000000000133.jpg,59,1.0,13.990079999999985,2.869920000000006,640.0003200000001,421.52016
000000000133.jpg,77,1.0,525.340192,20.929992,573.290208,49.649976
000000000136.jpg,0,1.0,0.8400000000000005,114.710101,54.379999999999995,372.40993899999995
000000000136.jpg,0,1.0,0.0,61.35002499999998,68.92,374.00018700000004
000000000136.jpg,23,1.0,82.0,116.38001100000001,267.73999999999995,369.060021
000000000136.jpg,23,1.0,316.72,131.82995100000002,444.76000000000005,296.079905
000000000138.jpg,72,1.0,16.660159999999998,102.66985350000002,139.72000000000003,348.7899705
000000000138.jpg,74,1.0,315.62016000000006,19.6000953,384.12000000000006,88.0999533
000000000138.jpg,45,1.0,157.459712,184.11011430000002,203.04972800000002,203.6401317
000000000138.jpg,69,1.0,260.10016,175.12025999999997,379.84992,533.080236
000000000138.jpg,71,1.0,496.76991999999996,203.17975485000002,625.90016,256.69973115
000000000138.jpg,58,1.0,560.6502399999999,45.269865,604.6502399999999,104.05966500000001
000000000138.jpg,75,1.0,218.38,54.989749950000004,252.01999999999998,102.14977004999999
000000000142.jpg,39,1.0,256.71,88.94016,416.77992,342.81024
000000000142.jpg,60,1.0,0.0,226.35999999999996,480.0,452.58016
000000000142.jpg,46,1.0,106.18992000000003,374.53024,378.82991999999996,566.82016
000000000142.jpg,48,1.0,74.57976,376.34016,438.13991999999996,640.0003200000001
000000000143.jpg,14,1.0,426.8799,192.46999999999997,558.0597,368.82
000000000143.jpg,14,1.0,128.1897,104.46,223.9599,271.88
000000000143.jpg,14,1.0,265.5897,126.88,365.5899,289.65000000000003
000000000143.jpg,14,1.0,243.5298,271.01000000000005,340.5198,391.7
000000000143.jpg,14,1.0,114.07980000000002,319.22,206.35980000000004,480.47
000000000143.jpg,14,1.0,35.9601,20.220000000000002,131.4603,153.93
000000000143.jpg,14,1.0,120.17999999999999,237.43000000000004,234.42,371.75
000000000143.jpg,14,1.0,468.71009999999995,320.79,562.9503,475.38000000000005
000000000144.jpg,23,1.0,232.99040000000002,121.70976,599.73024,480.0
000000000144.jpg,23,1.0,193.33024,131.88984,493.99008000000003,479.99976
000000000144.jpg,23,1.0,48.54015999999998,79.82016000000003,442.2502400000001,480.0
000000000149.jpg,0,1.0,388.0302080000001,324.6497914,397.640192,337.9798086
000000000149.jpg,0,1.0,339.42015999999995,316.8101582,346.30016,329.89013780000005
000000000149.jpg,0,1.0,333.21992,315.730143,339.51991999999996,329.680161
000000000149.jpg,0,1.0,401.73993599999994,325.69978239999995,416.439904,338.6597936
000000000149.jpg,33,1.0,434.24016,192.4402062,452.60016,207.4401938
000000000149.jpg,33,1.0,280.60985600000004,252.25994719999997,290.309824,258.6299568
000000000149.jpg,33,1.0,435.83014399999996,82.7299176,446.21017600000005,95.2299144
000000000149.jpg,33,1.0,293.240288,208.2799084,315.690272,218.9899236
000000000149.jpg,0,1.0,559.570016,317.52984019999997,566.669984,336.0398558
000000000149.jpg,0,1.0,538.4501984,315.990153,543.5402015999999,330.710143
000000000149.jpg,2,1.0,278.559936,311.7099818,288.259904,317.03999419999997
000000000149.jpg,2,1.0,311.270208,316.8600844,321.76019199999996,321.59008359999996
000000000149.jpg,2,1.0,295.01968,316.5100874,303.61968,320.6500886
000000000149.jpg,2,1.0,256.34988799999996,321.38010679999996,275.799872,328.5901092
000000000149.jpg,33,1.0,62.67027200000001,340.52001,104.340288,353.90999
000000000149.jpg,33,1.0,384.709856,274.6000278,422.36982399999994,290.5200442
000000000149.jpg,0,1.0,274.32025600000003,326.6099458,282.34022400000003,339.4299582
000000000149.jpg,0,1.0,544.6997984,317.6400502,549.1498016,333.9300298
000000000149.jpg,0,1.0,586.44016,321.2798906,590.96016,331.1598854
000000000149.jpg,0,1.0,249.86992,316.2598144,255.18991999999997,339.2898096
000000000149.jpg,0,1.0,233.569792,315.30011,241.399808,339.580122
000000000149.jpg,0,1.0,220.05968,313.4499088,227.69968000000003,340.65992320000004
000000000151.jpg,0,1.0,434.610072,61.50976,465.17008799999996,114.78976
000000000151.jpg,6,1.0,210.76008000000002,4.600319999999982,480.00024,640.0
000000000151.jpg,11,1.0,212.610072,329.170272,250.73008800000002,364.56028800000007
000000000154.jpg,22,1.0,11.979912000000011,315.59008,361.06009800000004,640.0003200000001
000000000154.jpg,22,1.0,40.459958,192.98016,314.07985,332.15008
000000000154.jpg,22,1.0,239.46010550000003,93.630048,338.65007049999997,157.36003200000002
000000000164.jpg,39,1.0,389.840256,183.919872,397.860224,210.78988800000002
000000000164.jpg,39,1.0,374.39987199999996,189.639792,381.269888,210.569808
000000000164.jpg,39,1.0,367.79020800000006,184.72008000000002,374.840192,212.26008000000002
000000000164.jpg,39,1.0,383.159808,187.56,390.36979199999996,211.79999999999998
000000000164.jpg,39,1.0,433.78976,280.35979199999997,452.10975999999994,311.729808
000000000164.jpg,72,1.0,428.69984,171.06984000000006,525.41984,309.10968
000000000164.jpg,39,1.0,463.10015999999996,282.68020800000005,473.02016000000003,319.230192
000000000164.jpg,39,1.0,399.87023999999997,161.68008,409.27023999999994,178.78008
000000000164.jpg,39,1.0,373.61004799999995,135.799848,384.100032,150.95983199999998
000000000164.jpg,39,1.0,404.560256,132.62004,414.340224,148.37004000000002
000000000164.jpg,39,1.0,415.11020800000006,131.22024,425.76019199999996,148.08023999999997
000000000164.jpg,56,1.0,159.04000000000002,409.15992,310.4,479.99976000000004
000000000164.jpg,40,1.0,153.96003199999998,189.95016,166.79004799999998,218.21016
000000000164.jpg,40,1.0,141.00982399999998,190.75992,157.109856,227.29992000000001
000000000164.jpg,40,1.0,108.420032,196.320168,122.73004799999998,229.720152
000000000164.jpg,40,1.0,58.589856000000005,196.119888,78.24982399999999,233.74987199999998
000000000164.jpg,40,1.0,81.76032,195.45984,97.20032,235.05984
000000000164.jpg,40,1.0,95.88979199999999,196.13004,107.719808,233.06004
000000000164.jpg,41,1.0,146.610016,233.849928,173.38998400000003,254.64991200000003
000000000164.jpg,41,1.0,114.55971199999999,236.809752,137.789728,256.329768
000000000164.jpg,41,1.0,176.770304,232.659792,196.91033599999997,248.78980800000002
000000000164.jpg,41,1.0,196.65011199999998,228.8802,216.64012799999998,244.39020000000002
000000000164.jpg,45,1.0,506.25011200000006,221.49996,562.400128,232.02996000000002
000000000164.jpg,68,1.0,377.71968000000004,227.44992,430.99968,257.80992000000003
000000000164.jpg,69,1.0,274.609824,263.37991200000005,321.42985600000003,297.59992800000003
000000000164.jpg,40,1.0,76.16976,194.990232,87.00975999999999,234.670248
000000000164.jpg,40,1.0,119.179776,191.23008000000002,135.039744,229.15008
000000000164.jpg,40,1.0,133.300192,192.92988,144.050208,228.29988
000000000164.jpg,41,1.0,159.47024000000002,231.63984000000002,181.19024,252.87984
000000000164.jpg,41,1.0,512.82992,134.179752,528.2299200000001,155.55976800000002
000000000164.jpg,41,1.0,532.630272,139.8498,547.820288,153.5598
000000000164.jpg,41,1.0,506.10968,146.680008,512.36968,154.879992
000000000164.jpg,41,1.0,169.77011199999998,203.219808,187.52012800000003,222.069792
000000000164.jpg,41,1.0,133.76976000000002,233.32987200000002,149.08976,253.53988800000002
000000000164.jpg,45,1.0,505.95014399999997,211.57008,535.130176,216.25008
000000000164.jpg,45,1.0,505.140288,219.2398008,562.030272,223.4497992
000000000164.jpg,45,1.0,509.259872,215.430072,561.289888,220.670088
000000000164.jpg,45,1.0,506.830016,212.689968,562.449984,218.75995200000003
000000000164.jpg,45,1.0,362.88032,171.40987199999998,376.24032,180.459888
000000000164.jpg,60,1.0,372.77984000000004,459.11983200000003,509.91967999999997,474.079848
000000000165.jpg,27,1.0,160.70976,173.44986800000004,251.39008,390.6301
000000000165.jpg,0,1.0,248.63008000000002,108.14014399999999,631.8,536.0
000000000165.jpg,0,1.0,6.019839999999981,24.09025199999997,360.13952000000006,528.770164
000000000165.jpg,76,1.0,68.80991999999999,126.15001200000002,368.2,412.25984400000004
000000000192.jpg,0,1.0,349.48,253.48008000000002,481.08,473.52984000000004
000000000192.jpg,0,1.0,437.20959999999997,218.33016000000003,515.6198400000001,466.36008000000004
000000000192.jpg,0,1.0,0.9300160000000002,274.22976,37.46,479.73983999999996
000000000192.jpg,0,1.0,268.11008,179.46,379.45984,415.14000000000004
000000000192.jpg,34,1.0,13.200000000000001,381.39024,49.2,474.37008000000003
000000000194.jpg,43,1.0,504.96032,415.15008000000006,606.37024,480.0
000000000194.jpg,53,1.0,1.080319999999979,40.98984000000003,640.0,473.52984000000004
000000000196.jpg,44,1.0,249.7296,200.54016000000001,460.53984,249.19008
000000000196.jpg,51,1.0,448.17014400000005,363.71988,471.150176,406.22988000000004
000000000196.jpg,51,1.0,391.24006399999996,374.66999999999996,415.860096,428.49
000000000196.jpg,51,1.0,442.269984,375.70003199999996,449.090016,401.73004799999995
000000000196.jpg,51,1.0,412.55017599999996,404.499912,468.530144,435.23992799999996
000000000196.jpg,44,1.0,533.65024,250.15008,607.36992,372.50016
000000000196.jpg,44,1.0,517.81024,213.870048,615.75008,256.96003199999996
000000000196.jpg,44,1.0,230.51999999999998,42.78,301.96,86.21999999999998
000000000196.jpg,44,1.0,546.14976,251.57016,617.8297600000001,332.17992
000000000196.jpg,44,1.0,464.49024000000003,390.80976,586.03008,478.95984
000000000196.jpg,45,1.0,275.9104,58.210080000000005,404.49024000000003,120.97008
000000000196.jpg,45,1.0,423.99008000000003,236.14007999999998,568.87008,349.86024
000000000196.jpg,45,1.0,513.78016,315.38015999999993,640.0003200000001,458.11008000000004
000000000196.jpg,45,1.0,234.68992,197.88,404.09024,284.11008
000000000196.jpg,45,1.0,363.01952,337.26023999999995,524.2598399999999,476.43
000000000196.jpg,45,1.0,332.21984,157.30008,464.90016,226.33992
000000000196.jpg,45,1.0,341.69024,115.73976,492.94016000000005,180.30984
000000000196.jpg,45,1.0,189.83007999999998,72.850128,278.21984,105.920112
000000000196.jpg,45,1.0,361.33024,47.28983999999999,454.32032,110.15975999999999
000000000196.jpg,50,1.0,199.459968,254.34996,217.709952,285.93996000000004
000000000196.jpg,50,1.0,280.50975999999997,393.550008,318.18976,422.449992
000000000196.jpg,50,1.0,170.360256,269.84011200000003,191.900224,298.930128
000000000196.jpg,51,1.0,462.59996800000005,401.479968,488.969952,433.16995199999997
000000000196.jpg,51,1.0,415.03983999999997,417.74980800000003,428.67984,449.49979199999996
000000000196.jpg,60,1.0,0.0,41.940239999999974,640.0,480.00024
000000000196.jpg,42,1.0,210.69984,407.69016,295.48,473.77031999999997
000000000196.jpg,44,1.0,457.60032,121.32012,501.68032000000005,150.33012000000002
000000000196.jpg,45,1.0,115.25984000000001,88.640088,211.38976,127.98007200000002
000000000196.jpg,45,1.0,33.839999999999996,109.71000000000001,151.02015999999998,169.91016
000000000196.jpg,45,1.0,0.00012799999999923983,145.78967999999998,71.349888,219.30984
000000000196.jpg,50,1.0,115.29984,340.830048,155.29984000000002,366.28003200000006
000000000196.jpg,51,1.0,379.310112,413.34000000000003,415.740128,443.34000000000003
000000000196.jpg,51,1.0,577.339776,377.01012,589.519744,392.04012
000000000196.jpg,51,1.0,372.89996800000006,388.960128,404.269952,416.210112
000000000196.jpg,51,1.0,168.75007999999997,359.550048,210.51008,401.32003199999997
000000000196.jpg,51,1.0,420.81971200000004,373.649808,443.209728,396.03979200000003
000000000196.jpg,51,1.0,434.09984,446.58016799999996,454.73984,457.18015199999996
000000000196.jpg,44,1.0,526.70992,129.889872,546.34992,139.179888
000000000196.jpg,50,1.0,250.30006399999996,325.699968,274.720096,346.22995199999997
000000000196.jpg,50,1.0,288.98976,290.27976,306.50976,323.57976
000000000196.jpg,50,1.0,150.979872,262.69008,167.409888,276.61008
000000000196.jpg,45,1.0,0.0,188.89008,172.64,280.90031999999997
000000000201.jpg,31,1.0,333.73984,31.740052000000013,488.58976000000007,394.33993999999996
000000000201.jpg,31,1.0,284.37984,17.329933999999994,430.87008,379.260002
000000000201.jpg,31,1.0,266.08,48.80013199999999,361.18016,343.240164
000000000201.jpg,31,1.0,242.61023999999998,53.190128,328.88032000000004,346.180096
000000000201.jpg,31,1.0,211.54016,46.950102000000015,294.29024,333.820098
000000000201.jpg,0,1.0,615.24992,195.43015,627.72992,212.00017000000003
000000000201.jpg,0,1.0,585.900256,194.44998719999998,597.640224,212.3700048
